class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Alfalfa,91.30435180664062,100.0,95.45454406738281,100.0,21,23
1,Corn-notill,81.5985107421875,87.88788604736328,84.62651062011719,87.88788604736328,999,1076
2,Corn-mintill,91.33710479736328,83.47676086425781,87.23021697998047,83.47676086425781,581,531
3,Corn,95.1219482421875,93.97589874267578,94.54544830322266,93.97589874267578,166,164
4,Grass-pasture,92.93785095214844,97.33727264404297,95.08670806884766,97.33727264404297,338,354
5,Grass-trees,95.06641387939453,98.04305267333984,96.53179931640625,98.04305267333984,511,527
6,Grass-pasture-mowed,41.666664123535156,100.0,58.82353210449219,100.0,5,12
7,Hay-windrowed,100.0,99.70059967041016,99.8500747680664,99.70059967041016,334,333
8,Oats,10.0,100.0,18.18181800842285,100.0,1,10
9,Soybean-notill,88.58521270751953,80.9104232788086,84.57405853271484,80.9104232788086,681,622
10,Soybean-mintill,91.2055892944336,91.15250396728516,91.17903900146484,91.15250396728516,1718,1717
11,Soybean-clean,93.0174560546875,89.8795166015625,91.42157745361328,89.8795166015625,415,401
